gene,highly_variable,means,dispersions,dispersions_norm,highly_variable_nbatches
LRRN3,True,0.12498310506823465,1.5833234298947763,1.3295205,7
DOCK4,True,0.7833515950908012,2.5133308133039294,3.3016589,10
PPP1R3A,True,0.00284793547033062,1.33019192139981,0.55689776,3
FOXP2,True,0.009573820496315319,1.6183003686911477,1.3540238,6
LINC01393,True,0.06716487200014537,1.7384885115061515,1.7713773,10
LINC01392,True,0.011908079223622168,1.392191226048466,0.7933279,3
TFEC,True,0.36415721430339626,1.6528048776840827,1.224667,5
ANKRD7,True,0.0095625015868703,1.4570218614185007,0.977827,4
KCND2,True,0.013973107344672534,1.4175642850754744,0.854638,4
CPED1,True,0.2181349575859713,1.6296501985563303,1.3978364,8
AASS,True,0.05521670674346352,1.382008513719731,0.79023635,3
CADPS2,True,0.015002376426167415,1.3303656770233743,0.5391927,3
AC006333.1,True,0.008087002646721943,1.409275652957471,0.8328036,3
POT1-AS1,True,0.10857406447957765,2.0570699136578927,2.6785002,10
AC087071.2,True,0.1318949165288128,1.472777744830355,1.0405988,5
COPG2,True,0.14738413702542247,1.5220132674581213,1.1176637,4
PLXNA4,True,0.2842118013400513,2.5844769172427062,4.4176245,10
LRGUK,True,0.12965935168219206,1.5916847280279605,1.3931935,6
CALD1,True,0.047459019856114316,1.4843034940566746,1.0865666,6
AC083870.1,True,0.14037108307114132,1.9032387032531788,2.2345114,10
AGBL3,True,0.14747138769917248,1.5906386974614501,1.360356,5
AC078845.1,True,0.28658496726720295,1.813259484267063,1.8257389,9
TTC26,True,0.03281489938246292,1.4794603059987748,1.0465878,4
TBXAS1,True,1.1908824366160773,2.0737752790492445,1.289324,6
TMEM178B,True,0.053722418919426904,1.9019707644080857,2.228611,10
MGAM,True,0.06661424456411778,1.6618046891740292,1.5715123,8
TRBV23-1,True,0.010781149360195178,1.7867102261031538,1.8982193,9
TRBV28,True,0.01990569555332863,1.419223023443431,0.9027552,5
TRBC1,True,0.6044760642463636,1.820322088195099,1.3907931,7
TRBC2,True,0.7336515690820368,1.7377365355418146,0.94728136,3
EPHA1-AS1,True,0.33377427171345697,1.6079433278801474,1.1710418,6
CNTNAP2,True,0.11493413626726127,1.65550480313339,1.3991002,4
ZNF425,True,0.03086087538490766,1.3684623356358396,0.7571183,3
LINC00996,True,0.02450243366350507,1.5291240369149877,1.1427687,4
LINC01006,True,0.07308495416839585,1.5129935478220022,1.1380233,5
VIPR2,True,0.08371424474941126,1.6754225216680936,1.6241158,8
DLGAP2,True,0.048982560346351685,1.5170854801658193,1.112351,3
ARHGEF10,True,0.0758063682366484,1.4436765550152135,0.9557253,3
MYOM2,True,0.053042470455483694,1.4933829425176026,1.0657675,3
AC246817.2,True,0.012884956355224223,1.4855920950494053,1.0015244,3
AC246817.1,True,0.05638462055560863,1.7665051545056152,1.8557208,10
ANGPT2,True,0.24452296837206416,1.506935887204146,0.96981007,4
AGPAT5,True,0.48792985183199383,1.7461140562417619,1.2938175,5
PRAG1,True,0.2498568941245905,1.5940185771310988,1.2485034,5
AC022784.1,True,0.013072004878031443,1.3090711982930956,0.5614957,3
AC034111.2,True,0.014185134867908488,1.4425683803046754,0.968108,4
XKR6,True,0.8145800656781373,1.8157970204347027,1.0713253,3
BLK,True,0.4857933379685502,2.4850629799624455,3.6387959,10
SGCZ,True,0.023550011614940084,1.4363460637784362,0.89124334,5
AC018437.3,True,0.0016947267255037017,1.3216580218761647,0.6241455,3
MSR1,True,0.27026312450808526,1.9129079909458047,2.0601852,10
MICU3,True,0.27920593374815883,1.7291482728217695,1.5092683,7
AC079193.2,True,0.040699913123659545,1.4193399987919368,0.878287,3
PSD3,True,0.13491301211051834,1.6968548184406262,1.6828994,9
AC100849.1,True,0.014361891147307706,1.402748120643484,0.7868491,4
CSGALNACT1,True,1.0687533299299652,2.31575485374824,2.2704537,10
PIWIL2,True,0.03874230149218562,1.4538233639982778,0.99116564,4
AC023202.1,True,0.0072371466668796226,1.4097967696656637,0.86548626,3
ADAM28,True,0.7062715789085152,2.49860932635083,3.576585,9
AC120193.1,True,0.47313432549751144,2.271736809618599,2.9952147,9
