names,scores,logfoldchanges,pvals,pvals_adj
FAM49A,27.957571,0.62240505,5.333512010612619e-172,2.033457011462838e-169
IL17RA,27.771372,0.5981408,9.619783776887587e-170,3.629832020802707e-167
NOTCH2,27.746914,0.5601854,1.8985200673525703e-169,7.090584998486881e-167
SRGAP2,27.73811,0.66985404,2.4245529831311987e-169,8.963743811675253e-167
CPNE8,27.599749,0.666352,1.1204341083182477e-167,4.1009008798556187e-165
CUX1,27.594692,0.4721257,1.2884705926697091e-167,4.669238827950893e-165
MAML3,27.532125,0.6891697,7.244637347754188e-167,2.5996173682857943e-164
NCF2,27.49389,0.7304495,2.0772095576921415e-166,7.381354079717483e-164
SLC11A1,27.442463,0.7405499,8.546488789381849e-166,3.0077888094246637e-163
GRK3,27.43025,0.6078835,1.1953997476514505e-165,4.166935825122928e-163
JAML,27.411385,0.7419619,2.0066206364769453e-165,6.928709614687989e-163
SLCO3A1,27.275084,0.47289377,8.379325362323693e-164,2.8662774540785932e-161
DIAPH2,27.248152,0.43703085,1.7478414932235514e-163,5.923402453099556e-161
EVI5,27.219442,0.61482525,3.823918148664235e-163,1.284029616139997e-160
MNDA,27.211075,0.7336171,4.803366671341082e-163,1.5982547594341358e-160
TET2,27.208458,0.45857745,5.1582659957569893e-163,1.700880123519834e-160
RNF149,27.176329,0.39327756,1.2372564526223167e-162,4.0432878055740546e-160
TRIM25,27.10532,0.8076417,8.522737911458057e-162,2.7605374362590826e-159
RIN3,26.958271,0.49350291,4.562997642636463e-160,1.4650024273520805e-157
RIN2,26.910503,0.9604057,1.654911781001811e-159,5.267080530125851e-157
ATP11A,26.84,0.5395306,1.103604438061392e-158,3.4821574170245695e-156
CREB5,26.778854,0.901005,5.6980873068045244e-158,1.782527295011559e-155
PLCB1,26.773312,0.62335515,6.611039528105331e-158,2.0505987946456204e-155
SKAP2,26.743343,0.6457926,1.4758039553674626e-157,4.5391513084373525e-155
TMTC2,26.732214,0.7141501,1.9880909392130002e-157,6.063843038844584e-155
CPVL,26.710705,0.8153479,3.5351050589931236e-157,1.0693254567289862e-154
FTH1,26.635548,0.44671124,2.6317119276058407e-156,7.89535149690995e-154
BAZ2B,26.451323,0.5169986,3.52314144869211e-154,1.039923388415967e-151
ACTB,26.434149,0.3493203,5.551917592403045e-154,1.6256458863963508e-151
STK3,26.407856,0.69226867,1.1131445326938237e-153,3.233508177867194e-151
MTRNR2L12,26.22226,0.17299159,1.481503630771336e-151,4.269646802351313e-149
STX11,26.176067,0.6767688,4.978005107292943e-151,1.4234372260314766e-148
