Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,RAC1 GTPase Cycle R-HSA-9013149,5/178,0.0020099962021844,0.0264023963034634,0,0,6.001521143900213,37.26718040754737,DOCK5;NCF2;CYBB;SRGAP2;ARHGAP26
Reactome_2022,Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807,4/107,0.0020478312922353,0.0264023963034634,0,0,8.008495145631068,49.58038484161047,STAT1;CD36;JAK2;TNFRSF1B
Reactome_2022,Regulation Of IFNG Signaling R-HSA-877312,2/14,0.0021657651600423,0.0269600421646646,0,0,33.82312925170068,207.5042741698455,STAT1;JAK2
Reactome_2022,Disease R-HSA-1643685,18/1736,0.0022560514334538,0.0271478189158949,0,0,2.32314943638377,14.157595924805053,NOTCH2;CTBP2;STAT1;EIF2AK2;ISG15;PARP14;QKI;IL17RA;HCK;VCAN;RNF213;TBXAS1;TRIM25;MAML3;CD36;JAK2;ATG7;TLR2
Reactome_2022,SARS-CoV Infections R-HSA-9679506,7/369,0.0025346943927157,0.0295169250248508,0,0,4.062436879938216,24.283956643493987,STAT1;TRIM25;ISG15;PARP14;JAK2;IL17RA;TLR2
Reactome_2022,SARS-CoV-2 Infection R-HSA-9694516,6/283,0.0029885783473027,0.0332000552757071,0,0,4.5217758660419385,26.284890815268096,STAT1;TRIM25;ISG15;PARP14;IL17RA;TLR2
Reactome_2022,SARS-CoV-2-host Interactions R-HSA-9705683,5/196,0.0030486001061939,0.0332000552757071,0,0,5.430972719757509,31.462020206239767,STAT1;TRIM25;ISG15;IL17RA;TLR2
Reactome_2022,MyD88 Deficiency (TLR2/4) R-HSA-5602498,2/17,0.0032052883489498,0.0332000552757071,0,0,27.05442176870748,155.3722787250682,CD36;TLR2
Reactome_2022,RHOQ GTPase Cycle R-HSA-9013406,3/59,0.0032188419242375,0.0332000552757071,0,0,10.959499263622977,62.89364704662167,CPNE8;SRGAP2;ARHGAP26
Reactome_2022,IRAK4 Deficiency (TLR2/4) R-HSA-5603041,2/18,0.003594237117374,0.0342901122133465,0,0,25.362244897959183,142.7494556250508,CD36;TLR2
Reactome_2022,Regulation Of TLR By Endogenous Ligand R-HSA-5686938,2/18,0.003594237117374,0.0342901122133465,0,0,25.362244897959183,142.7494556250508,CD36;TLR2
Reactome_2022,Adaptive Immune System R-HSA-1280218,10/733,0.0036582280690665,0.0342901122133465,0,0,2.947133855847549,16.53570903573602,RAP1GAP2;RNF213;JAML;NCF2;CYBB;CD36;ATG7;RNF130;CTSS;TLR2
Reactome_2022,Signaling By BRAF And RAF1 Fusions R-HSA-6802952,3/62,0.0037044719565665,0.0342901122133465,0,0,10.400663987419186,58.22514848728369,JAK2;ATG7;QKI
Reactome_2022,Signaling By KIT In Disease R-HSA-9669938,2/19,0.0040040456388033,0.0352551335514147,0,0,23.869147659063625,131.7684366549516,STAT1;JAK2
Reactome_2022,Nicotinamide Salvaging R-HSA-197264,2/19,0.0040040456388033,0.0352551335514147,0,0,23.869147659063625,131.7684366549516,NAMPT;PARP14
Reactome_2022,NOTCH4 Intracellular Domain Regulates Transcription R-HSA-9013695,2/20,0.004434499847536,0.0381155820228693,0,0,22.54195011337869,122.13995997533476,NOTCH2;MAML3
Reactome_2022,Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202,7/424,0.0054122886705416,0.0454380513968726,0,0,3.516696320363065,18.35393079454624,RNF213;CTBP2;STAT1;MAML3;JAK2;ATG7;QKI
Reactome_2022,Growth Hormone Receptor Signaling R-HSA-982772,2/24,0.0063585473607634,0.0499007738529479,0,0,18.43970315398887,93.26719485343038,STAT1;JAK2
Reactome_2022,RHO GTPases Activate NADPH Oxidases R-HSA-5668599,2/24,0.0063585473607634,0.0499007738529479,0,0,18.43970315398887,93.26719485343038,NCF2;CYBB
Reactome_2022,Interleukin-6 Family Signaling R-HSA-6783589,2/24,0.0063585473607634,0.0499007738529479,0,0,18.43970315398887,93.26719485343038,STAT1;JAK2
Reactome_2022,CDC42 GTPase Cycle R-HSA-9013148,4/149,0.0066747485612657,0.0507541982657473,0,0,5.676724137931035,28.43711668542506,CPNE8;FGD4;SRGAP2;ARHGAP26
Reactome_2022,Regulation Of Insulin Secretion R-HSA-422356,3/77,0.0067890554235683,0.0507541982657473,0,0,8.286152131512956,41.36814601724816,GNAQ;CD36;PLCB1
Reactome_2022,NOTCH3 Intracellular Domain Regulates Transcription R-HSA-9013508,2/25,0.0068890740028299,0.0507541982657473,0,0,17.637089618456077,87.79423275712823,STAT1;MAML3
Reactome_2022,Oncogenic MAPK Signaling R-HSA-6802957,3/78,0.0070353356395665,0.0507951233176703,0,0,8.175257731958762,40.523198294001766,JAK2;ATG7;QKI
Reactome_2022,Infection With Mycobacterium Tuberculosis R-HSA-9635486,2/26,0.0074389947886241,0.0516437907441019,0,0,16.901360544217688,82.83389842043363,RNF213;TLR2
Reactome_2022,Interleukin-20 Family Signaling R-HSA-8854691,2/26,0.0074389947886241,0.0516437907441019,0,0,16.901360544217688,82.83389842043363,STAT1;JAK2
Reactome_2022,Hemostasis R-HSA-109582,8/576,0.0082717186802373,0.0563413291238808,0,0,2.959583588487446,14.190945735627835,SRGN;DOCK5;JAML;GNAQ;PECAM1;CD36;JAK2;SLC8A1
